abb	abb	tên viết tắt cho thành_phố hà_nội là gì
exp	exp	# là viết tắt của từ gì
exp	exp	cpr có nghĩa_là gì
exp	exp	nasa có nghĩa_là gì
exp	exp	thuật_ngữ isdn trong kỹ_thuật có nghĩa_là gì
exp	exp	từ viết tắt nasa có dạng đầy_đủ là gì
exp	exp	từ viết tắt sos có dạng đầy_đủ là gì
exp	exp	usps có nghĩa_là gì
def	def	acetaminophen là gì
def	def	amoxicillin là gì
def	def	angiotensin là gì
def	def	axit_acetic là gì
def	def	bác_sĩ nhi_khoa là gì
def	def	bạch_cầu là gì
def	def	bại não là gì
def	def	băng_thông là gì
def	def	bay_hơi là gì
def	def	bệnh_bạch_cầu là gì
def	def	bệnh bò điên là gì
def	def	bệnh cảm cúm là gì
def	def	bệnh quai_bị là gì
def	def	bệnh tiểu_đường là gì
def	def	bệnh tự kỷ là gì
def	def	các tế_bào năng_lượng mặt_trời là gì
def	def	caffein là gì
def	def	cận_thị là gì
def	def	carbon dioxide là gì
def	def	cha_truyền_con_nối là gì
def	def	châm_cứu là gì
def	def	chất_bán_dẫn là gì
def	def	chất_dẻo là gì
def	def	chất gây ung_thư là gì
def	def	cholesterol là gì
def	def	chóng_mặt là gì
def	def	chứng động_kinh là gì
def	def	chứng loạn dưỡng cơ là gì
def	def	chứng loãng_xương là gì
def	def	chứng rối_loạn hoảng_sợ là gì
def	def	chứng tăng huyết_áp là gì
def	def	chứng xơ_gan là gì
def	def	ciao là gì
def	def	công_nghệ nano là gì
def	def	Đa_dạng_sinh_học là gì
def	def	dải_ngân hà là gì
def	def	Đạo_đức là gì
def	def	diêm_sinh là gì
def	def	diệt_chủng là gì
def	def	Độ_ẩm là gì
def	def	Động_đất là gì
def	def	hang_động là gì
def	def	Động_mạch là gì
def	def	Động_vật_không_xương_sống là gì
def	def	Động_vật ký_sinh là gì
def	def	Đúc khuôn là gì
def	def	e-coli là gì
def	def	enzim là gì
def	def	gia_tốc là gì
def	def	gió mặt_trời là gì
def	def	góc_vuông là gì
def	def	hình elip là gì
def	def	kiểm_tra dung_tích phổi là gì
def	def	lăng_kính là gì
